Description,is_sif,source,Industry Sector,Employee or Third Party,iogp_rule
"On December 10, 2015, at approximately 12:05 PM, an employee attempted to clear scrap material from the operating envelope of a die cutting machine.  The machine, which was still energized at the time, cycled and crushed his hand. He required surgery for multiple hand fractures.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 12:30 p.m. on February 8, 2017, Employee #1 walked, fell to the ground and sustained a fracture.   Employee #1 was then transported to the hospital for treatment of the injury.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 10:30 a.m. on February 8, 2016, a warehouse associate noticed that a fluorescent light fitting in the corridor was flickering intermittently. The observation was logged and maintenance replaced the tube the same day. No injury occurred. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"On May 13, 2019, at approximately 8:20 a.m., an employee was pumping anhydrous ammonia from bulk storage tanks into a 1000 gallon anhydrous ammonia mobile nurse tank. Ammonia released from the valve and burned the employee.",1,OSHA_SIR,Others,Employee,Uncategorized
"At approximately 2:15 p.m. on July 1, 2015, Employee #1 was moving two pallets of tile with a standup forklift. As he worked, the forklift overturned and struck him. He sustained crushing injuries on the left side of his body. Employee #1 died from traumatic crushing injuries.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 4:35 p.m. on May 8, 2016, an operator grazed a knuckle against a rough edge while removing a hand-tightened cover plate. A minor abrasion was dressed on site and the edge was deburred. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"An employee was using a table grinder to grind the end of a pipe. The wheel of the grinder grabbed the pipe, causing it to shift. The employee's hand was caught between the pipe and the disconnect on the grinder, amputating the pinky finger between the first and second knuckles and damaging the ring finger tendon.",1,OSHA_SIR,Others,Employee,Uncategorized
"During the environmental monitoring activity in the area, the employee was surprised by a swarming swarm of weevils. During the exit of the place, endured suffering two stings, being one in the face and the other in the middle finger of the left hand.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 11:00 a.m. on October 16, 2015, an employee was working at a commercial construction site, installing a HVAC unit. In the process of moving material to the roof with the use of an aerial lift, the employee made contact with an overhead power line and the employee was killed.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 8:40 a.m. on October 21, 2016, a contractor's helper caught a glove on a cabinet latch while closing a de-energised control panel door. The glove was snagged but the hand was uninjured. The latch was filed smooth. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 10:30 a.m. on November 26, 2016, an office assistant felt mild discomfort in the lower back after repeatedly bending to pick up small fittings from a low shelf. The employee rested briefly, reported the ergonomic concern, and resumed light duties.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"On 10/12/2016, an employee was squaring up steel with a sledgehammer to cut it with a saw. While he was swinging the sledgehammer, the head of the hammer missed the steel and instead smashed his right index finger between the hammer handle and the steel, lacerating and fracturing his fingertip. His fingertip had to be amputated.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 11:15 a.m. on November 16, 2015, Employee #1, employed by a construction contractor, was engaged in interior masonry work at a construction site.  He was working from the platform of an elevated scissor lift and installing rigid insulation board.  Employee #1 fell from the scissor lift to the concrete floor, a fall height of 25 feet.  Employee #1 was killed and he was determined to have sustained head concussion and fractures of the spine and other bones.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 2:45 p.m. on August 8, 2017, a workshop helper found an empty cable reel left in a walkway during a routine housekeeping round. The reel was removed to the storage yard. No one was injured. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"An employee was working near a backhoe when the stabilizer legs were lowered and landed on their right foot, requiring hospitalization.",1,OSHA_SIR,Others,Employee,Uncategorized
"During the execution of the soil sampling task, in the Potions area, around 3:00 pm Pablo was moving on the bite and was bitten by a right elbow wasp over the sleeve uniform. He was using at the time of the incident all the PPE needed for the activity. The employee was evaluated by the team who found it to be a mild injury with localized swelling. The employee reported that he did not feel any pain and that he could continue the activity.",0,IHM_Stefanini,Others,Employee,Uncategorized
